species,UNGROUPED,2.7.13.3,3.2.1.23,3.6.4.12,5.2.1.8,1.6.5.11,3.2.1.22,2.7.7.7,7.2.1.1,2.7.7.6,5.99.1.3,3.1.6.1,3.2.1.52,5.1.3.3,3.4.21.89,3.2.1.21,6.3.5.5,5.99.1.2,7.1.2.2,2.7.1.11
Bacteroides_uniformis,0.09999999999999999,0.7,0.7,0.19999999999999998,0.09999999999999999,0.09999999999999999,0.7,0.09999999999999999,0.09999999999999999,0.19999999999999998,0.19999999999999998,0.7,0.6,0.3,0.19999999999999998,0.6,0.09999999999999999,0.09999999999999999,0.19999999999999998,0.09999999999999999
Prevotella_stercorea,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475
Bacteroides_vulgatus,0.8999999999999998,0.49999999999999994,0.49999999999999994,0.7999999999999999,0.8999999999999998,0.8999999999999998,0.49999999999999994,0.8999999999999998,0.8999999999999998,0.7999999999999999,0.7999999999999999,0.49999999999999994,0.6,0.7999999999999999,0.7999999999999999,0.6,0.8999999999999998,0.8999999999999998,0.7999999999999999,0.8999999999999998
Bacteroides_stercoris,0.19999999999999998,-0.6,-0.6,-0.09999999999999999,0.19999999999999998,0.19999999999999998,-0.6,0.19999999999999998,0.19999999999999998,-0.09999999999999999,-0.09999999999999999,-0.6,-0.3,0.09999999999999999,-0.09999999999999999,-0.3,0.19999999999999998,0.19999999999999998,-0.09999999999999999,0.19999999999999998
Bacteroides_thetaiotaomicron,0.3,0.8999999999999998,0.8999999999999998,0.49999999999999994,0.3,0.3,0.8999999999999998,0.3,0.3,0.49999999999999994,0.49999999999999994,0.8999999999999998,0.7,0.39999999999999997,0.49999999999999994,0.7,0.3,0.3,0.49999999999999994,0.3
Alistipes_finegoldii,0.4103913408340617,0.10259783520851543,0.10259783520851543,0.6155870112510925,0.4103913408340617,0.4103913408340617,0.10259783520851543,0.4103913408340617,0.4103913408340617,0.6155870112510925,0.6155870112510925,0.10259783520851543,-0.10259783520851543,0.05129891760425771,0.6155870112510925,-0.10259783520851543,0.4103913408340617,0.4103913408340617,0.6155870112510925,0.4103913408340617
Alistipes_putredinis,0.8944271909999159,0.22360679774997896,0.22360679774997896,0.7826237921249264,0.8944271909999159,0.8944271909999159,0.22360679774997896,0.8944271909999159,0.8944271909999159,0.7826237921249264,0.7826237921249264,0.22360679774997896,0.3354101966249684,0.6708203932499368,0.7826237921249264,0.3354101966249684,0.8944271909999159,0.8944271909999159,0.7826237921249264,0.8944271909999159
Akkermansia_muciniphila,0.39999999999999997,0.7999999999999999,0.7999999999999999,0.7,0.39999999999999997,0.39999999999999997,0.7999999999999999,0.39999999999999997,0.39999999999999997,0.7,0.7,0.7999999999999999,0.49999999999999994,0.3,0.7,0.49999999999999994,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997
Bacteroides_fragilis,0.0,0.7071067811865475,0.7071067811865475,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865475,0.35355339059327373,0.0,0.7071067811865475,0.0,0.0,0.0,0.0
Faecalibacterium_prausnitzii,-0.8999999999999998,-0.49999999999999994,-0.49999999999999994,-0.7999999999999999,-0.8999999999999998,-0.8999999999999998,-0.49999999999999994,-0.8999999999999998,-0.8999999999999998,-0.7999999999999999,-0.7999999999999999,-0.49999999999999994,-0.6,-0.7999999999999999,-0.7999999999999999,-0.6,-0.8999999999999998,-0.8999999999999998,-0.7999999999999999,-0.8999999999999998
Porphyromonas_asaccharolytica,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159,-0.8944271909999159
Acidaminococcus_intestini,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373
Bacteroides_ovatus,0.7181848464596079,0.20519567041703085,0.20519567041703085,0.8207826816681234,0.7181848464596079,0.7181848464596079,0.20519567041703085,0.7181848464596079,0.7181848464596079,0.8207826816681234,0.8207826816681234,0.20519567041703085,0.10259783520851543,0.35909242322980395,0.8207826816681234,0.10259783520851543,0.7181848464596079,0.7181848464596079,0.8207826816681234,0.7181848464596079
Bacteroides_cellulosilyticus,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.7071067811865475,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.7071067811865475,0.7071067811865475,0.35355339059327373,0.0,0.0,0.7071067811865475,0.0,0.35355339059327373,0.35355339059327373,0.7071067811865475,0.35355339059327373
Parabacteroides_distasonis,0.4103913408340617,0.10259783520851543,0.10259783520851543,0.6155870112510925,0.4103913408340617,0.4103913408340617,0.10259783520851543,0.4103913408340617,0.4103913408340617,0.6155870112510925,0.6155870112510925,0.10259783520851543,-0.10259783520851543,0.05129891760425771,0.6155870112510925,-0.10259783520851543,0.4103913408340617,0.4103913408340617,0.6155870112510925,0.4103913408340617
Alistipes_onderdonkii,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373,-0.35355339059327373
Parabacteroides_merdae,0.7826237921249264,0.3354101966249684,0.3354101966249684,0.8944271909999159,0.7826237921249264,0.7826237921249264,0.3354101966249684,0.7826237921249264,0.7826237921249264,0.8944271909999159,0.8944271909999159,0.3354101966249684,0.22360679774997896,0.4472135954999579,0.8944271909999159,0.22360679774997896,0.7826237921249264,0.7826237921249264,0.8944271909999159,0.7826237921249264
Collinsella_aerofaciens,-0.3,-0.8999999999999998,-0.8999999999999998,-0.49999999999999994,-0.3,-0.3,-0.8999999999999998,-0.3,-0.3,-0.49999999999999994,-0.49999999999999994,-0.8999999999999998,-0.7,-0.39999999999999997,-0.49999999999999994,-0.7,-0.3,-0.3,-0.49999999999999994,-0.3
Bacteroides_caccae,0.4472135954999579,0.6708203932499368,0.6708203932499368,0.22360679774997896,0.4472135954999579,0.4472135954999579,0.6708203932499368,0.4472135954999579,0.4472135954999579,0.22360679774997896,0.22360679774997896,0.6708203932499368,0.8944271909999159,0.7826237921249264,0.22360679774997896,0.8944271909999159,0.4472135954999579,0.4472135954999579,0.22360679774997896,0.4472135954999579
Bacteroides_massiliensis,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.7071067811865475,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.7071067811865475,0.7071067811865475,0.35355339059327373,0.0,0.0,0.7071067811865475,0.0,0.35355339059327373,0.35355339059327373,0.7071067811865475,0.35355339059327373
